Name,Thesis,Original Reference
Ludwig Wittgenstein,"Language is related to the world through language games. Examples of language games include: taking and giving orders, describing the appearance of things, describing sensations, the taking of measurements, reporting on an event, speculating about the future, making up stories, play acting, guessing riddles, telling jokes, asking, cursing, greeting, and praying.",Philosophical Investigations
Ludwig Wittgenstein,Private experience depends on a shared public world.,Philosophical Investigations
Ludwig Wittgenstein,"God does not reveal himself in the world it is not how things are in the world that is mystical, but that it exists.'",Tractatus Logico-Philosophicus
Ludwig Wittgenstein,There is no problem of the meaning of life.,Tractatus Logico-Philosophicus
Ludwig Wittgenstein,"An atomic proposition has an object and a predicate (e.g. quarks have mass). Atomic propositions have truth values (true or false). Atomic propositions can be combined into molecular propositions (e.g. quarks have mass and quarks have baryon numbers). When the propositions of science are fully analyzed, each will contain names of indivisible objects. These names will be related to each in a way that pictures the relations between the objects they represent.",Tractatus Logico-Philosophicus
Ludwig Wittgenstein,"The 7 Propositions of the Tractatus Logico-Philosophicus: (1) The world is everything that is the case. (2) What is the case (a fact) is the existence of states of affairs. (3) A logical picture of facts is a thought. (4) A thought is a proposition with a sense. (5) A thought is a proposition with a sense. (6) A proposition is a truth-function of elementary propositions. (An elementary proposition is a truth-function of itself.) (7) The general form of a proposition is the general form of a truth function, which is: [p, E, N(E)] This is the general form of a proposition. (8) Whereof one cannot speak, thereof one must be silent.",Tractatus Logico-Philosophicus
Luitzen Egbertus Jan Brouwer,The principle of excluded middle should be abandoned. Just because you have proved not-p does not mean that you can infer p.,"""The Unreliability of the Logical Principles"""
Maimonides,The world was created in time and time had a beginning.,The Guide for the Perplexed
Maimonides,We can only describe God by saying what God is not.,The Guide for the Perplexed
Niccoli Machiavelli,"A ruler should appear to be merciful, trustworthy, humane, honorable, and pious, and should always speak in a way that projects those qualities. But a ruler should act in whatever manner maintains the stability of his rulership.",The Prince
Nicholas of Cusa,"I think, therefore I am' offers no way out of skepticism nor does it prove the existence of the self.",De Doctora Ignorantia
Nicolas Malebranche,"Parallelism: Thoughts do not cause bodily movement, nor vice versa. Minds cannot interact with matter, because they are fundamentally different kinds of substance.",Essai de la Metaphysique
Nicolas Malebranche,Ideas become associated via networks of fibers in the brain.,De la Recherche de la Verit़
Nicolas Malebranche,Occasionalism: There is only one cause and it is God.,Essai de la Metaphysique
Parmenides,"If Being is that of which something or other, no matter what, is true, then Unbeing is that of which nothing at all is true.",The Fragments of the Presocratics by Hermann Alexander Diels and W. Kranz
Parmenides,"Equally, being is not just existing (being, period) but being anything whatever: being hot or being cold, being earth or being water, and so on.",The Fragments of the Presocratics by Hermann Alexander Diels and W. Kranz
Parmenides,Being encompasses everything that exists.,The Fragments of the Presocratics by Hermann Alexander Diels and W. Kranz
Parmenides,There is a difference between knowledge and belief.,The Fragments of the Presocratics by Hermann Alexander Diels and W. Kranz
Parminides,Love causes everything.,The Fragments of the Presocratics by Hermann Alexander Diels and W. Kranz
Parminides,"Change is not real, because time is unreal. Past, present, and future are all one.",The Fragments of the Presocratics by Hermann Alexander Diels and W. Kranz
Paul Bernays,"The propositional system of Principia Mathematica is consistent, four of its axioms are independent of each other, and the fifth is deducible as a thesis from the remaining four.","""Axiomatische Untersuchungen des Aussagen-Kalkuls der `Principia Mathematica'"""
Paul Grice,The analytic synthetic distinction is sustainable against Quine's attacks.,"""In Defence of a Dogma"" with Peter Strawson"
Peter Abelard,"False sentences signify the state of affairs which, if they obtained, would make the sentence true.",Logica Ingredientibus
Peter Abelard,Logic is the art of distinguishing between valid and invalid arguments.,Logica Nostrorum Petitioni Scholarium
Peter Abelard,Exists can be replaced by a quantifier plus a verb.,Dialectica
Peter Abelard,"There are two ways to predicate possibility: de sensu (now called de dicto) and de re. Consider the proposition, It is possible for the king not to be king. On the de sensu interpretation, the proposition would be: The king is not the king is possibly true. This is false. On the de re reading, the proposition would be: the king may be deposed. This could be true.",Dialectica
Peter de Rivo,"Some predictions are neither true nor false, but instead have a third truth-value, neutral.",No reference.
Peter Strawson,"Referring and describing are only possible if we can identify and reidentify material objects, and this requires our minds to contain a unified spatio-temporal framework.",Individuals
Peter Strawson,"Descriptive metaphysics tries to describe the structure of our thought about the world, in terms of fundamental categories, e.g.the category of individual object. Revisionary metaphysics tries to improve our structure of thought.",Individuals
Philippa Foot,"Virtuous people are effortlessly good, in the sense that they are not challenged by their own character to do the right thing.",Virtues and Vices
Philippa Foot,The virtues are capacities to exercise one's will that people need for their own sake and for others' sake.,Virtues and Vices
Philo,"If p, then q, is false only when p is true and q false.",
Pierre Gassendi,There can be no movement without a void or vacuum. ,Syntagma Philosophicum
Pierre Gassendi,Atomism is true.,Syntagma Philosophicum
Plato,"God did not create the universe out of nothing, but out of a pre-existing chaos.",Timaeus
Plato,The good life consists in pleasure and wisdom together.,Philebus
Plato,Pleasure can be quantified and applied to our conception of the good life.,The Republic
Plato,"The Soul has 3 Parts: (1) the avaricious part, the ambitious part, and reason, which loves learning.",The Republic
Plato,"Assume that wherever a thing has a property, it has that property in virtue of some Form. If the Forms can be predicated of themselves, we will have an infinite regress. If several things are large, they are large due to the form of largeness. Is largeness large? It must be. But, what accounts for largeness being large? It must be in virtue of some other largeness form.  ",Parmenides
Plato,"Forms must be able to combine with each other, but not all Forms can combine with each other.",The Sophist
Plato,"What is known must be true. So, truth is a necessary condition on knowledge. But knowledge is not just true thought. Knowledge also requires the thought to take on some form (logos), which is yet to be discovered.",Thaeatetus
Plato,"Dialectic is a philosophical method that takes a claim and tries to show that it leads to a contradiction. If a contradiction is reached, the premisses used to derive the contradiction are tested, until an unquestionable premiss is found.",The Republic
Plato,"Even if our knowledge of our current state of sensory experience is infallible, our beliefs about future experience are not.",Thaeatetus
Plato,The paradigm of knowledge is knowledge of the essences of things.,Meno
Plato,Any sentence must have at least one verb and one noun.,The Sophist
Plato,There is only one world.,Timaeus
Plato,"Aristocracy (rule by the best) is the most just form of government. In a just state, everyone does serves a role according to their aptitudes. After aristocracy, in order from best worst:  timocracy, oligarchy, democracy, and despotism.",The Republic
Plato,"In the just state, there is no marriage for the upper class. Instead, women are held in common and sex is public.",The Republic
Plato,"The working class should be controlled by creating myths, or 'noble falsehoods', about who is fit to lead and who is fit to follow.",The Republic
Plato,City living makes the division of labor effective for meeting everyone's needs.,The Republic
Plato,It is possible that individuals will benefit more from appearing just than from actually being just.,The Republic
Plato,"Social contracts, which set up a kind of system of justice, enable the weak to avoid the oppression of the strong.",The Republic
Protagoras,"We cannot contradict each other in our beliefs. Instead, the belief that p may be true for one person, and the belief that not-p may be true for another.",Lives of the Philosophers by Diogenes Laertius
Pyrrho,Nothing can be known.,"The Hellenistic Philosophers, ed. by Long and Sedley (only fragments of Chrysippus's work survive in the work of later philosophers)"
Pythagoras,Souls can migrate between bodies and across species.,Lives of the Philosophers by Diogenes Laertius
Ren़ Descartes,Teleological explanations (explanations in terms of goals) have no place in physics or biology.,Principles of Philosophy
Ren़ Descartes,Substance is that which requires nothing but itself in order to exist.,Principles of Philosophy
Ren़ Descartes,"Essences are eternal truths. The essence of matter is spatial extension. A material body can lose any property except spatial extension, and still be a material body.",The Works of Descartes edited by Adam and Tannery
Ren़ Descartes,Physical reality is mechanistic: all natural phenomena can be explained by the motion of geometrical matter. Properties such as weight and color are irrelevant to physical explanations.,The Works of Descartes edited by Adam and Tannery
Ren़ Descartes,"We can be sure that God exists, only because we clearly and distinctly perceive that he does; therefore, prior to being certain that God exists, we need to be certain that whatever we clearly and evidently perceive is true.'",The Works of Descartes edited by Adam and Tannery
Ren़ Descartes,"Knowledge is a tree whose roots are metaphysics, whose trunk is physics, and whose fruitful branches are the moral and useful sciences.",Principles of Philosophy
Ren़ Descartes,Consciousness is the mark of mental--i.e. essential to a thing being a mind.,Meditations on First Philosophy
Richard Mervyn Hare,There is a logic of imperatives.,The Language of Morals
Robert Grosseteste,"The necessary truths of science are of a conditional form (e.g. if a root of sort x is eaten, bile of type y will be produced). You need to perform controlled experiments to establish such truths.",Commentary on 'Posterior Analytics'
Roger Bacon,"A priori reasoning is helpful, but only experimental science gives us certainty.",Opus Maius
Roscelin of Compigne,"Universal predicates are just words, they do not refer to real universals.",No reference given.
Saul Kripke,Genuine names are rigid designators: terms that have the same reference in every possible world.,Naming and Necessity
Seneca,The human mind is a material part of a material divine world-soul.,Epistle
Sextus Empiricus,"Lekton: what is communicated by a sentence, an intangible entity, unlike the concrete things to which a sentence may refer. A lekton may be true or false.",Memorabilia
Epicurus,"Concepts are used in proofs, but they are not themselved proved. They are templates through which we interpret experience.",Lives of the Philosophers by Diogenes Laertius
Socrates,Knowledge of how best to use what you possess (phronesis) is the only thing that is truly good.,Euthydemus
Socrates,"We need a science that measures the relative sizes of pleasures and pains, present and future.",The Republic
Socrates,No one does evil on purpose. They do so out of ignorance of what's good for them.,Protagoras
Socrates,"Virtue is a skill, like carpentry.",The Republic
Thales,The best way to live is to not do to others 'what we blame others for doing.Lives of the Philosophers by Diogenes Laertius
Thomas Aquinas,There are two ways of financing a project. One is by making a loan to an entrepreneur; the other is by buying a share in the enterprise. The first is usury and wicked. The second is partnership and honourable.,Summa Theologica
Thomas Aquinas,It is evil to take interest on loans.,Summa Theologica
Thomas Aquinas,"Five ways to use your intellect: (1) withholding judgement, (2) tentative assent, allowing that one could be wrong, (3) unquestioning assent on the basis of self-evidence, (4) unquestioning assent on the basis of reasons (scientia), (5) unquestioning assent where there are no compelling reasons (faith). ",Summa Theologica
Thomas Aquinas,Thinking is the production of inner sentences.,De Veritate
Thomas Hobbes,There is no divine right of kings.,Leviathan
Thomas Hobbes,"The state exists for the sake of its citizens, not the other way round. If the government fails to protect its subjects, their obligation to the government is terminated.",Leviathan
Thomas Hobbes,It is an open question whether the sovereign (the head of government) should be an individual or an assembly.,Leviathan
Thomas Hobbes,"We rationally give up our ability to do whatever we can get away with in exchange for protection, provided by the government. Without this protection, there will be rampant murder and oppression of the weak by the strong.",Leviathan
Thomas Hobbes,"... in the nature of man, we find three principal causes of quarrel. First, competition; secondly diffidence; thirdly glory).",Leviathan
Thomas Hobbes,"Liberty consists of getting what you want, how you want, not in being able to defy causal laws.",Leviathan
Thomas Hobbes,Imagination and memory both consist of decaying sense experiences.,Leviathan
Thomas Hobbes,"There is no conception in a mans mind, which hath not at first, totally, or by parts, been begotten upon the organs of sense. The rest are derived from that original  ",Leviathan
Thomas More,The utopian society is built up of family households.,Utopia
Thomas Reid,"Size, shape, color and motion exist in material substances. Conscious thoughts  must have a subject which we call mind .",Essays on the Active Powers of the Human Mind
Thomas Reid,"Propositions, not conceptions, are the basic building blocks of knowledge. Concepts proceed from propositions. Not the other way around.","Inquiry and Essays, ed. Beanblossom and Lehrer"
Thomas Reid,"Ideas, of the sort referred to by Descartes and Britich Empiricists, are fictions.","Inquiry and Essays, ed. Beanblossom and Lehrer"
Vienna Circle,"Verificationism: the meaning of a proposition is the manner in which it is shown to be true. If it cannot be decided how a proposition would be shown to be true, the proposition is meaningless. Many metaphysical theses are consequently meaningless.",The Scientific Conception of the World
Vienna Circle,"Mathematical truths are necessary because they are true by definition. By themselves, they don't tell us anything about the world. Knowledge about the world comes from experience.",The Scientific Conception of the World
Willard Van Orman Quine,There is no distinction between analytic and synthetic propositions.,"""Two Dogmas of Empiricism"""
Willard van Orman Quine,  To be is to be the value of a bound variable. ,"""On What There Is"""
Willard Van Orman Quine,We should not quantify into modal contexts.,"""Notes on Existence and Necessity"""
Willard van Orman Quine,What exists depends upon what theory we adopt.,"""On What There Is"""
Willard van Orman Quine,"Meaning must be explained by mapping sensory stimuli onto verbal behaviour, not in terms of beliefs and intentions.",Word and Object
Willard van Orman Quine,"Systems of sentences, not single sentences, are the objects of empirical verification or falsification. A single sentence cannot be verified by itself.",From a Logical Point of View
William James,"Consciousness flows in a continuous stream without sharp breaks between one item and the next. Consciousness is an essentially private internal phenomenon, only contingently related to behaviour. In principle, consciousness can exist without a body.",The Principles of Psychology
William James,"Emotions are somatosensations, i.e. perceptions of bodily state.",The Principles of Psychology
William James,Only verifiable sentences can be true.,The Meaning of Truth
William James,Truth is an attribute beliefs conducive to the satisfaction of desires.,The Meaning of Truth
William James," ...if the hypothesis of God works satisfactorily in the widest sense of the word, it is true.'",Pragmatism
William James, What is true is what works ,Pragmatism
William of Ockham,"Six rules apply to inferences various kinds: ""1. What is false does not follow from what is true. 2. What is true may follow from what is false. 3. Whatever follows from the consequent follows from the antecedent. 4. Whatever entails the antecedent entails the consequent. 5. The contingent does not follow from the necessary. 6. The impossible does not follow from the possible. Many of Ockham s rules derive from earlier philosophers, but he was the first to set them out systematically, and they were generally accepted by later logicians."" (Quoted from Kenny)",Opera Philosophica
William of Ockham,"General terms (e.g. duck, attic, prayer) are equivalent to lists of proper names. Proper names refer to individual things. Only individuals exist.",Summa of Logic
William of Ockham,There are two classes of rights: those that you can forfeit (such as the right to private property) and those that are inalienable (such as your right to live).,Opus Nonaginta Dierum
William of Ockham,Only two of the ten Aristotelian categories are legitmate: substance and quality.,Summa of Logic
Zeno,Motion is impossible.,Aristotle's Physics
